,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
95864,0.887,2002,0.0026,['Damian Marley'],0.871,181640,0.795,0,2SBWRfQVMPPg1Ke98ustDp,3.21e-06,11,0.0454,-7.551,0,And You Be Loved,2,2002-01-01,0.0555,103.589
76005,0.222,1982,0.203,['Judas Priest'],0.338,430693,0.6809999999999999,0,7dG8KCv11OLSswfOGSTLw3,0.0,11,0.298,-7.434,0,Prisoner of Your Eyes,1,1982,0.0398,123.819
35958,0.308,1979,0.821,['Miss Piggy'],0.364,169973,0.394,0,4snYOGT0e0OrcfQXePO5cR,0.000152,6,0.1369999999999999,-12.689,1,"Never Before, Never Again - From ""The Muppet Movie""/Soundtrack Version",1,1979-01-01,0.0312,143.702
143575,0.418,1992,0.352,['Kenny Rogers & The First Edition'],0.425,242093,0.34,0,4m9zF5OiikfhWTjcXTHAJx,0.000824,9,0.0696,-14.913,1,Something's Burning,1,1992-01-01,0.0338,89.802
101852,0.83,1963,0.54,['Jesse Pearson'],0.647,149747,0.478,0,2tKyHxdL7GvG7GxAlbSzEh,0.0,5,0.244,-11.275,1,One Last Kiss (Gym Rehearsal Outtake),1,1963,0.0853,110.665
155736,0.63,1994,0.0905,['TLC'],0.695,256493,0.695,0,39075uTD725v34KQhr5kKK,0.315,7,0.0561,-5.48,1,Let's Do it Again,2,1994-11-15,0.0427,80.704
10862,0.7490000000000001,1954,0.937,['Danny Barker'],0.746,303640,0.473,0,1MpE0bN6lC958VSuD7tQj1,0.5579999999999999,7,0.0738,-9.352,0,Charleston,0,1954-07-23,0.0549,101.689
142769,0.768,2012,0.114,['Tim McGraw'],0.608,208400,0.931,0,3crxySebCike4UZq4SvzxT,0.0,7,0.067,-3.278,1,Truck Yeah,3,2012-01-01,0.0336,97.973
158142,0.792,2009,0.0274,['The Bastard Suns'],0.7509999999999999,166333,0.747,0,27RHCJ5d9xz076XO8cH9sB,0.0,7,0.147,-5.494,0,S. B. M. T.,2,2009-04-10,0.0581,129.054
49513,0.414,1956,0.967,['Lata Mangeshkar'],0.438,222453,0.269,0,59EXjutdpxayZ1uSiOlCjo,0.00027,1,0.17,-10.045,1,Chand Phir Nikla Magar Tum Na Aaye,0,1956-12-01,0.0292,105.893
81731,0.938,1973,0.644,['Doc Watson'],0.585,179333,0.529,0,6sYdf0d7IaX848f5UChyij,0.0131,3,0.0795,-12.003,0,Shady Grove,2,1973,0.0291,133.075
126287,0.46,2008,0.00162,['Daron Malakian and Scars On Broadway'],0.469,167973,0.991,1,297lTBnCfkMyqzCfDCpqn6,1.43e-06,1,0.0826,-1.275,1,They Say,3,2008-07-29,0.0475,139.765
162817,0.388,1994,0.581,['Ana Gabriel'],0.4270000000000001,179133,0.141,0,6qxQMPMbwn8l5CuPeTRa7O,0.0,0,0.335,-11.51,1,Vámonos,3,1994-08-20,0.0369,66.374
133966,0.765,1970,0.325,"['Eric Burdon', 'War']",0.557,802467,0.6559999999999999,0,0E71xrvPp5OXj8CJHrZIVP,0.000116,10,0.0744,-10.901,0,Paint It Black Medley: Black On Black In Black / Paint It Black / Laurel & Hardy / Pintello Negro / P.C.3 / Blackbird,1,1970-12,0.063,132.597
121213,0.502,1967,0.785,"['Carmela Y Rafael', 'Rondalla Mexicana Del Chato Franco']",0.637,174904,0.307,0,15Bu0L58OyJyvsYfBY5OK4,0.0,7,0.114,-10.521,0,Caminemos,1,1967-01-01,0.0292,101.335
130292,0.711,1971,0.669,['John Denver'],0.562,198507,0.441,0,72Pqtmlq7K1fy6yvPR7RTz,0.0,3,0.162,-13.045,1,City of New Orleans,1,1971-12,0.0388,92.032
40364,0.284,2011,0.885,['Seahaven'],0.754,249723,0.0382,0,3GSBRBIbOp4lxgqbiBmlXv,0.0,2,0.166,-11.99,1,Honeybee,2,2011-11-08,0.0411,118.021
56311,0.197,1973,0.5479999999999999,['Dr. John'],0.522,173027,0.148,0,5cib9HDrgbrzUyUcZa5cGW,0.000874,8,0.126,-19.658,1,Just the Same,1,1973,0.0445,62.426
